"","Target","Type","Order","Solution_Area","NurseryHabitat_Rep","BlueCarbon_Rep","Recreation_Rep","CoastalProtection_Rep","Biodiversity_Rep","Zone"
"1","0.05","Single Service","1",41,0.05,0.01,0,0.01,0.01,"Confirmed_Beds"
"2","0.05","Single Service","2",161,0.01,0.05,0.03,0.03,0.02,"Confirmed_Beds"
"3","0.05","Single Service","3",28,0.02,0.01,0.05,0.01,0.01,"Confirmed_Beds"
"4","0.05","Single Service","4",184,0.08,0.02,0.01,0.05,0.04,"Confirmed_Beds"
"5","0.05","Single Service","5",145,0.02,0.01,0.01,0.03,0.05,"Confirmed_Beds"
"6","0.05","Two Services","1 2 ",162,0.05,0.05,0.02,0.04,0.05,"Confirmed_Beds"
"7","0.05","Two Services","1 3 ",49,0.05,0.01,0.05,0.01,0.01,"Confirmed_Beds"
"8","0.05","Two Services","1 4 ",184,0.08,0.02,0.01,0.05,0.04,"Confirmed_Beds"
"9","0.05","Two Services","1 5 ",147,0.05,0.02,0.02,0.03,0.05,"Confirmed_Beds"
"10","0.05","Two Services","2 3 ",162,0.02,0.05,0.05,0.03,0.03,"Confirmed_Beds"
"11","0.05","Two Services","2 4 ",192,0.06,0.05,0.02,0.05,0.05,"Confirmed_Beds"
"12","0.05","Two Services","2 5 ",165,0.05,0.05,0.03,0.04,0.05,"Confirmed_Beds"
"13","0.05","Two Services","3 4 ",188,0.08,0.03,0.05,0.05,0.04,"Confirmed_Beds"
"14","0.05","Two Services","3 5 ",148,0.04,0.02,0.05,0.03,0.05,"Confirmed_Beds"
"15","0.05","Two Services","4 5 ",187,0.08,0.02,0.01,0.05,0.05,"Confirmed_Beds"
"16","0.05","Three Services","1 2 3 ",163,0.05,0.05,0.05,0.04,0.04,"Confirmed_Beds"
"17","0.05","Three Services","1 2 4 ",192,0.06,0.05,0.02,0.05,0.05,"Confirmed_Beds"
"18","0.05","Three Services","1 2 5 ",165,0.05,0.05,0.03,0.04,0.05,"Confirmed_Beds"
"19","0.05","Three Services","1 3 4 ",188,0.08,0.03,0.05,0.05,0.04,"Confirmed_Beds"
"20","0.05","Three Services","1 3 5 ",148,0.05,0.02,0.05,0.03,0.05,"Confirmed_Beds"
"21","0.05","Three Services","1 4 5 ",187,0.08,0.02,0.01,0.05,0.05,"Confirmed_Beds"
"22","0.05","Three Services","2 3 4 ",194,0.07,0.05,0.05,0.05,0.05,"Confirmed_Beds"
"23","0.05","Three Services","2 3 5 ",166,0.06,0.05,0.05,0.04,0.05,"Confirmed_Beds"
"24","0.05","Three Services","2 4 5 ",192,0.07,0.05,0.02,0.05,0.05,"Confirmed_Beds"
"25","0.05","Three Services","3 4 5 ",191,0.08,0.03,0.05,0.05,0.05,"Confirmed_Beds"
"26","0.05","Four Services","1 2 3 4 ",194,0.07,0.05,0.05,0.05,0.05,"Confirmed_Beds"
"27","0.05","Four Services","1 2 3 5 ",166,0.06,0.05,0.05,0.04,0.05,"Confirmed_Beds"
"28","0.05","Four Services","1 2 4 5 ",192,0.07,0.05,0.02,0.05,0.05,"Confirmed_Beds"
"29","0.05","Four Services","1 3 4 5 ",191,0.08,0.03,0.05,0.05,0.05,"Confirmed_Beds"
"30","0.05","Four Services","2 3 4 5 ",196,0.08,0.05,0.05,0.05,0.05,"Confirmed_Beds"
"31","0.05","Five Services","1 2 3 4 5 ",196,0.08,0.05,0.05,0.05,0.05,"Confirmed_Beds"
