"","Target","Type","Order","Solution_Area","NurseryHabitat_Rep","BlueCarbon_Rep","Recreation_Rep","CoastalProtection_Rep","Biodiversity_Rep","Zone"
"1","0.05","Single Service","1",34,0.05,0.01,0.01,0.01,0.01,"Potential Restoration Areas"
"2","0.05","Single Service","2",66,0.01,0.05,0.02,0.02,0.02,"Potential Restoration Areas"
"3","0.05","Single Service","3",33,0.03,0.01,0.05,0.01,0.01,"Potential Restoration Areas"
"4","0.05","Single Service","4",108,0.07,0.02,0.01,0.05,0.03,"Potential Restoration Areas"
"5","0.05","Single Service","5",96,0.02,0.03,0.02,0.03,0.05,"Potential Restoration Areas"
"6","0.05","Two Services","1 2 ",71,0.05,0.05,0.04,0.02,0.03,"Potential Restoration Areas"
"7","0.05","Two Services","1 3 ",45,0.05,0.02,0.05,0.01,0.02,"Potential Restoration Areas"
"8","0.05","Two Services","1 4 ",108,0.07,0.02,0.01,0.05,0.03,"Potential Restoration Areas"
"9","0.05","Two Services","1 5 ",98,0.05,0.04,0.03,0.03,0.05,"Potential Restoration Areas"
"10","0.05","Two Services","2 3 ",69,0.04,0.05,0.05,0.02,0.03,"Potential Restoration Areas"
"11","0.05","Two Services","2 4 ",115,0.07,0.05,0.02,0.05,0.05,"Potential Restoration Areas"
"12","0.05","Two Services","2 5 ",98,0.03,0.05,0.03,0.03,0.05,"Potential Restoration Areas"
"13","0.05","Two Services","3 4 ",116,0.09,0.03,0.05,0.05,0.04,"Potential Restoration Areas"
"14","0.05","Two Services","3 5 ",98,0.04,0.04,0.05,0.03,0.05,"Potential Restoration Areas"
"15","0.05","Two Services","4 5 ",119,0.07,0.05,0.02,0.05,0.05,"Potential Restoration Areas"
"16","0.05","Three Services","1 2 3 ",72,0.05,0.05,0.05,0.02,0.03,"Potential Restoration Areas"
"17","0.05","Three Services","1 2 4 ",115,0.07,0.05,0.02,0.05,0.05,"Potential Restoration Areas"
"18","0.05","Three Services","1 2 5 ",99,0.05,0.05,0.04,0.03,0.05,"Potential Restoration Areas"
"19","0.05","Three Services","1 3 4 ",116,0.09,0.03,0.05,0.05,0.04,"Potential Restoration Areas"
"20","0.05","Three Services","1 3 5 ",99,0.05,0.05,0.05,0.03,0.05,"Potential Restoration Areas"
"21","0.05","Three Services","1 4 5 ",119,0.07,0.05,0.02,0.05,0.05,"Potential Restoration Areas"
"22","0.05","Three Services","2 3 4 ",120,0.09,0.05,0.05,0.05,0.05,"Potential Restoration Areas"
"23","0.05","Three Services","2 3 5 ",99,0.04,0.05,0.05,0.03,0.05,"Potential Restoration Areas"
"24","0.05","Three Services","2 4 5 ",119,0.07,0.05,0.02,0.05,0.05,"Potential Restoration Areas"
"25","0.05","Three Services","3 4 5 ",122,0.09,0.05,0.05,0.05,0.05,"Potential Restoration Areas"
"26","0.05","Four Services","1 2 3 4 ",120,0.09,0.05,0.05,0.05,0.05,"Potential Restoration Areas"
"27","0.05","Four Services","1 2 3 5 ",100,0.05,0.05,0.05,0.03,0.05,"Potential Restoration Areas"
"28","0.05","Four Services","1 2 4 5 ",119,0.07,0.05,0.02,0.05,0.05,"Potential Restoration Areas"
"29","0.05","Four Services","1 3 4 5 ",122,0.09,0.05,0.05,0.05,0.05,"Potential Restoration Areas"
"30","0.05","Four Services","2 3 4 5 ",122,0.09,0.05,0.05,0.05,0.05,"Potential Restoration Areas"
"31","0.05","Five Services","1 2 3 4 5 ",122,0.09,0.05,0.05,0.05,0.05,"Potential Restoration Areas"
